name,reads_clade,recalculated_percent
Corynebacterium glaucum,2662,17.883775613033254
Finegoldia magna,2105,14.141753443063488
Fannyhessea vaginae,2079,13.967080953980519
Peptoniphilus genitalis,1674,11.246221027880416
Anaerococcus mediterraneensis,1289,8.65972455492106
Segatella copri,454,3.0500503862949278
Hoylesella buccalis,423,2.841787033926772
Prevotella bivia,372,2.49916022841787
Aerococcus christensenii,299,2.0087336244541487
Campylobacter ureolyticus,188,1.2630164595230098
Megasphaera elsdenii,177,1.1891165602955995
Winkia neuii,154,1.034598589183742
Faecalibacterium prausnitzii,145,0.9741350352704065
Bacillus thuringiensis,141,0.9472623446422573
Aedoeadaptatus ivorii,134,0.9002351360429962
Peptoniphilus lacrimalis,116,0.7793080282163252
Dialister pneumosintes,106,0.7121263016459523
Sneathia vaginalis,99,0.6650990930466912
Corynebacterium pseudotuberculosis,91,0.611353711790393
Porphyromonas somerae,84,0.5643265031911321
Streptococcus pyogenes,82,0.5508901578770574
Varibaculum prostatecancerukia,77,0.517299294591871
Anaerococcus sp. Marseille-Q7828,76,0.5105811219348337
Mediterraneibacter gnavus,73,0.4904266039637219
Corynebacterium yudongzhengii,69,0.4635539133355728
Limosilactobacillus reuteri,68,0.4568357406785354
Segatella oris,65,0.43668122270742354
Dermabacter jinjuensis,63,0.423244877393349
Anaerococcus prevotii,62,0.4165267047363117
Megasphaera massiliensis,56,0.37621766879408797
Segatella hominis,47,0.31575411488075245
Fastidiosipila sanguinis,44,0.2955995969096406
Cetobacterium somerae,42,0.28216325159556604
Prevotella corporis,39,0.26200873362445415
Sneathia sanguinegens,36,0.2418542156533423
Arcanobacterium canis,34,0.2284178703392677
Ligilactobacillus ruminis,33,0.2216996976822304
Bifidobacterium dentium,33,0.2216996976822304
Gleimia europaea,33,0.2216996976822304
Jonquetella anthropi,31,0.20826335236815585
Rhodococcus opacus,31,0.20826335236815585
Staphylococcus aureus,31,0.20826335236815585
Succinivibrio dextrinosolvens,30,0.20154517971111857
Actinotignum urinale,30,0.20154517971111857
Porphyromonas asaccharolytica,29,0.1948270070540813
Phocaeicola vulgatus,28,0.18810883439704398
Gryllotalpicola protaetiae,28,0.18810883439704398
Emticicia oligotrophica,27,0.1813906617400067
Streptomyces sp. NBC_01320,26,0.17467248908296942
Peptostreptococcus equinus,24,0.16123614376889486
Treponema peruense,24,0.16123614376889486
